"Categoria","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Ônibus","9235911.928710938","9968423.388671875","10709913.19921875","11343686.845703125","11970981.455078125","12948815.677734375","13969395.876953125","15194701.810546875","16104165.482421875","16248909.787109375","16650884.177734375","17101384.44921875","17808020.572265625","17207696.646484375","18215579.455078125","17778473.8463157","17875124.655617","18786304.58746654","19668521.28101123","19013399.19906272","20404366.751111142","21190557.071796656","22167821.433614306","23352825.693097703","23189520.892938208","21635111.424212195","20609136.15971243","20082806.575029965","19382343.24794037","19369437.848903216","18646871.842692427","19485313.15882099","19379615.225468215"
"Campo alagado -- Pastagem","3999100.161104806","4096563.2120645344","3975250.465667378","4521949.143092345","3317430.20728413","3949912.9171470255","3750622.526551053","4033378.5157359354","3714848.6249909177","3868030.6615364514","3814771.4931934774","3247743.0461330116","3109979.2068803944","3233971.5830482095","3052209.228559803","2979731.3816245236","2524037.2902814373","2946465.390414715","2642403.27194437","2386424.4910090975","2817296.0247761942","2479604.2281442024","4049719.72648371","4772215.3120023385","3120604.7580316253","3621266.9444110543","3497362.242030181","2742492.44929849","2445839.0735179633","3135347.5255329013","3952866.6670280136","3803119.2208838724","18271626"
"Comerciais leves","4014437.526485443","4570445.283576965","4803635.482328415","5227915.486717224","5814906.683906555","6843434.940202713","8023495.852119446","9031404.803482056","9701970.915704727","9453097.397307396","9424381.928595543","9482227.73842144","9415718.240202427","9486454.56403017","9923117.480257034","9867651.390036019","10138155.463128291","10140199.68043389","10262962.292029466","10093900.581367407","11532820.433483636","13085063.1569164","14870086.303627906","15621061.85255155","16501728.31330567","15543222.446402797","15895147.563964888","16401841.393510142","15435794.464109404","15793541.302146282","15478656.079311553","17142940.31345528","17909549.524376266"
"Centrais elétricas autoprodutoras","2358246.0874023438","2433754.6750411987","3174505.3073393106","3175510.5128335357","2927328.114447728","3254348.0456937067","3737676.2078089025","3715655.5299260616","4139419.219117582","5488639.450753622","5245227.186108403","6777194.355558753","5836860.067663312","5454009.498997251","6342675.54145018","6665019.819371704","6972920.473922361","8394139.059032086","8577687.502759447","7211389.559739203","10290394.656599341","12473238.400695307","11189712.01121086","11248068.200071024","12104562.282223321","12414250.28553275","12322218.588165076","14466268.188122923","14574463.309615696","14547078.129117921","18726918.04858056","18119621.699477486","17778677.987864517"
"Floresta alagável -- Pastagem","6924939.97059764","11600254.242597308","11615551.598156698","12997296.502434172","7869955.10283085","14444339.298588641","14518125.206154987","21146324.0499691","19516118.514574617","16296444.88276188","18364463.652323417","13451773.386859063","11541313.158373848","12407846.475250788","12873675.484656628","10661612.686219089","11973239.856233642","11951069.38686461","10726470.240430102","8704819.042816758","8055477.083100162","7197121.718403913","18535961.971594967","14147359.7712643","13378357.958500408","14286893.983838871","24031417.734721072","11675186.311121047","9333331.725858405","11374849.981755488","9081783.34789779","24805456.590807866","13273747"
"Pastagem -- Outras áreas não vegetadas","657519","672601","721393","784376","671177","732375","859503","755305","766868","915922","970930","975127","847807","867877","1200002","994631","957701","851973","943573","840042","719635","1050681","976783","1159884","1209505","951730","884781","984651","928128","790034","1082552","2276730","11007151"
"Aeronaves de aviação civil","5088397","5342213","5034008","5305953.5","5426818","6333302","6759349.5","7608423","8342675.0234375","7774611.685546875","8285264.291015625","8526993.566894531","8203680.6806640625","5819627.6884765625","6221502.298828125","5692719.961571723","5916319.422433682","6439058.502442781","6393734.234810296","7551012.278865024","8940954.510597266","10240248.376612715","10436653.280630648","10031757.011226578","10119383.812372975","10231183.530230675","9502974.526702102","9480609.864651013","9744639.018101498","9536084.418392427","5450398.389167231","7237140.835375275","8994021.775714736"
"Formação campestre -- Mosaico de agricultura e pastagem","17499982.558354646","15494633.356002867","14652730.413318694","14361664.275676936","15976544.090091854","11294337.874127746","12083394.443547249","14572581.108937383","12782053.688379854","12099791.8220056","11878075.176920801","14179411.16086924","14102119.106182933","16757066.525081307","14820983.625311375","7708836.467943817","7537839.301734567","6019682.388219267","9118725.76312837","5955943.328012317","10290499.130247504","11444578.185351908","14467105.855771035","14952687.573454559","9767866.667626888","10126596.37713039","8040222.119145274","9965614.227838606","10694951.35284087","17171751.09188509","18874172.999788404","17653547.452987313","8576054"
"Outros processos","4449685.632949829","4315467.968204498","4480718.8322246075","4539075.809844971","4796272.606737137","4683541.099710703","5005963.075500488","5395184.718734741","5812116.722061157","6012856.77230835","6108564.98664856","6303300.60798645","6195725.339675903","6128685.00447309","6147323.04624939","6311099.624694824","6651884.604278564","7162156.2420043945","6894377.636627197","6915505.207309723","6824552.546562195","7059918.621274948","8131677.659789324","8325644.050626755","8463880.753658295","7519057.538161516","7844614.708720684","7476497.052933216","7345225.123790741","7441802.250277281","7588569.426531792","7438637.804044247","7806455.661370277"
"Queima em tocha (flare)","2454992.7285223007","2422659.883301735","2455560.9007589817","2509298.5536432266","2608105.5758929253","2675746.038050413","3001831.8909492493","3226606.297129631","3696620.4799160957","4126593.2847070694","4586163.074742909","4812023.329620586","5338285.868874322","5191730.608925305","4618406.565698536","9053065.141847778","6693585.545530478","6422595.016259052","7563270.286044441","13692510.969726458","9179674.503564596","6878464.451220989","6131167.252413273","5980142.921700478","6905559.270015001","6794805.4014053345","6736123.981284142","6753010.537333965","6670063.093211174","7101864.231725216","7240866.493343353","6937091.102149487","7098316.495592117"
"Formação florestal -- Mineração","3629254","2758797","2736457","1941669","1546756","1739440","1539519","1276753","1169250","1535967","1542263","1352608","1139802","1234389","1044419","1338380","1278415","1744208","1985476","2359947","2080591","2819715","3760375","4384649","4660435","4988022","6468712","7433486","7100469","7740535","6157843","11927524","6361308"
"Cal calcítica","2659172.75","2668630.25","2868098.25","3063188.75","3025898.5","2988970","3054985.75","3175130.75","3019407.75","3257908.75","3948245.75","3763748","3939893","4041952.75","4345575","4319080.359375","4361600","4564346.3828125","4581184.265625","3922135.4765625","4800781.1015625","5220422.0625","5298998.484375","5376384.265625","5195811.015625","5290141.1875","5290141.1875","5290141.1875","5290141.1875","5162668.140625","5162668.140625","5162668.140625","5162668.140625"
"Pastagem -- Formação campestre","693433","1024586","514062","623691","469589","729972","625483","608763","646638","621527","1104955","662598","1048138","610493","741192","943713","607726","829669","802169","777005","689657","766841","772625","890849","751584","816877","956728","870641","1000699","989158","749732","1263554","4896785"
"Motocicletas","855775.9310779572","922084.4266395569","886856.1497344971","851592.9848518372","826486.6050758362","869681.0078163147","955272.4509429932","1062451.8859863281","1194986.0145111084","1234133.7428588867","1310163.7303466797","1440789.1805114746","1569379.524017334","1799811.068206787","2019627.0320129395","2230381.792816162","2665766.7018432617","3206785.5059760315","3919043.407766821","4282836.629029046","4905436.135940408","5323015.721448532","5973888.0733498745","5843286.022340264","5928526.373697498","5494233.99269867","5365684.494132227","5244600.311649143","4677804.260732659","4583852.738249765","4104198.9304763284","4295893.69522448","4785679.060451878"
"Outros","148926551.1670219","170827183.79664108","131267794.1877424","164864448.55708218","163560199.1689611","151030963.30935264","145824608.13342905","130164591.52454829","147614330.42386714","148127675.75434938","157728740.44450474","156978155.0730402","131226890.94955453","182122609.05126917","234299232.0688567","205018977.534237","152621479.57999167","132392013.00483467","147187438.23458934","135136318.81628978","151576437.34699282","134430323.90716285","184963059.64300913","217686340.24306977","185760511.076209","196309365.76371893","147205959.28624323","152777989.44317627","142968111.81305984","157062822.0024835","111287604.7623667","95250167.9357827","84918829.24874699"
